ID,English/Anglais,French/Français,Type,Notify_Organisation_ID,Email_Domain
001OO00000GgH3GYAV,Office of the Intelligence Commissioner,Bureau du commissaire au renseignement,GC Department,,ico-bcr.gc.ca
001OO00000HzMoJYAV,Office of the Public Sector Integrity Commissioner of Canada,Commissariat à l'intégrité du secteur public du Canada,GC Department,,psic-ispc.gc.ca
001OO00000AhiwAYAR,Office of the Secretary to the Governor General,Bureau du secrétaire du gouverneur général,GC Department,,
001I9000005DXSKIA4,Office of the Superintendent of Financial Institutions,Bureau du surintendant des institutions financières,GC Department,,osfi-bsif.gc.ca
001OO00000Ct4gqYAB,Office of the Taxpayers' Ombudsperson,Bureau de l'ombudsman des contribuables,Other,,
001I900000504b0IAA,Offices of the Information and Privacy Commissioners of Canada,Les Commissariats à l’information et à la protection de la vie privée du Canada,GC Department,,priv.gc.ca
001I90000050ZenIAE,Pacific Economic Development Canada,Développement économique Canada pour le Pacifique,GC Department,c5214275-99a4-468d-a5bd-a88f548c2a60,pacifican.gc.ca
001I90000050XWsIAM,Pacific Pilotage Authority Canada,Administration de pilotage du Pacifique Canada,Crown Corp,,ppa.gc.ca
001I9000004Vt67IAC,Parks Canada,Parcs Canada,GC Department,be21200e-4eaf-4e90-9aca-00b1b84e7143,pc.gc.ca
001I9000005DbCwIAK,Parliament of Canada,Parlement du Canada,GC Department,,
001I900000504ZTIAY,Parole Board of Canada,Commission des libérations conditionnelles du Canada,GC Department,,pbc-clcc.gc.ca
001OO000006vSnJYAU,Patented Medicine Prices Review Board Canada,Conseil d'examen du prix des médicaments brevetés,GC Department,,pmprb-cepmb.gc.ca
001I9000005X2mZIAS,Polar Knowledge Canada,Savoir polaire Canada,GC Department,,polar-polaire.gc.ca
001I9000004Vt68IAC,Prairies Economic Development Canada,Développement économique Canada pour les Prairies,GC Department,92f47188-8588-46ea-be47-a75c793c3f21,prairiescan.gc.ca
001I9000004Vt69IAC,Privy Council Office,Bureau du Conseil privé,GC Department,8427108d-bb8f-443d-817b-6bba8bb2fa04,pco-bcp.gc.ca
001I9000004Vt6AIAS,Public Health Agency of Canada,Agence de la santé publique du Canada,GC Department,6d5f3682-54ff-4aba-8405-96e71de45bb1,
001I9000004Vt6BIAS,Public Prosecution Service of Canada,Service des poursuites pénales du Canada,GC Department,,ppsc-sppc.gc.ca
001I9000004Vt6CIAS,Public Safety Canada,Sécurité publique Canada,GC Department,bf791b97-e34c-4bc9-b571-63cc00a17fca,ps-sp.gc.ca
001I9000004Vt6DIAS,Public Service Commission of Canada,Commission de la fonction publique du Canada,GC Department,3357a618-cf88-4ec7-8058-e2ddacf49e07,cfp-psc.gc.ca
001I9000004Vt6EIAS,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,GC Department,d8509d9d-44a8-40bc-91d3-60417a636a38,tpsgc-pwgsc.gc.ca
001I9000004Vt6FIAS,Royal Canadian Mint,Monnaie royale canadienne,GC Department,,mint.ca
